model;price;km;location;year
Audi A3 35 TFSi Prestige Sportback S-tr. ;377.900 kr.;7.000;København;2021
Audi Q2 35 TFSi Prestige S-tr. ;499.900 kr.;9.000;Syd- og Sønderjylland;2021
Audi Q3 35 TFSi S-tr. ;349.800 kr.;50.000;Nordjylland;2019
Audi Q2 35 TFSi Prestige S-tr. ;335.900 kr.;6.000;København;2021
Audi A1 1,0 TFSi 95 Ultra Sportback ;169.000 kr.;41.000;Nordjylland;2016
Audi A4 40 TFSi S-line+ S-tr. ;451.900 kr.;8.000;København;2020
Audi A4 40 TFSi Sport Prestige Avant S-tr ;384.900 kr.;21.000;Nordsjælland;2019
Audi A1 1,4 TFSi 122 Attraction ;110.000 kr.;108.000;Syd- og Vestsjælland;2011
Audi A5 40 TFSi Advanced+ Sportback S-tr. ;469.900 kr.;6.000;København;2020
Audi A3 1,0 TFSi 116 Sportback ;174.900 kr.;105.000;Syd- og Sønderjylland;2016
Audi Q3 1,4 TFSi 150 Sport S-tr. ;299.980 kr.;79.000;Østjylland;2018
Audi A5 1,8 TFSi 170 Sportback Multitr. ;219.900 kr.;132.000;Østjylland;2015
Audi A3 35 TFSi Prestige S-tr. ;374.900 kr.;6.000;Syd- og Vestsjælland;2021
Audi A3 35 TFSi Prestige Sportback S-tr. ;384.900 kr.;6.000;Syd- og Vestsjælland;2021
Audi Q2 35 TFSi Sport Prestige Select S-tr. ;349.900 kr.;16.000;Østjylland;2020
Audi A5 2,0 TFSi 190 Sport Sportback S-tr. ;414.900 kr.;35.000;Syd- og Vestsjælland;2018
Audi A4 40 TFSi Prestige+ Avant S-tr. ;503.900 kr.;4.000;København;2021
Audi Q2 30 TFSi Prestige ;284.900 kr.;6.000;Østjylland;2021
Audi A3 35 TFSi Prestige Sportback S-tr. ;379.900 kr.;6.000;København;2021
Audi Q2 35 TFSi Prestige S-tr. ;334.900 kr.;5.000;Syd- og Vestsjælland;2021
Audi A3 35 TFSi Prestige Sportback S-tr. ;389.900 kr.;9.000;København;2021
Audi S6 4,0 TFSi Avant quattro S-tr. ;449.900 kr.;201.000;Nordjylland;2013
Audi Q3 35 TFSi Advanced S-tr. ;384.900 kr.;7.000;Fyn;2020
Audi A3 35 TFSi Prestige S-tr. ;357.900 kr.;9.000;Nordjylland;2021
Audi A3 35 TFSi Prestige Sportback S-tr. ;347.900 kr.;6.000;Nordjylland;2021
Audi TT 2,0 TFSi Competition Coupé S-tr. ;519.800 kr.;35.000;Nordjylland;2017
Audi A4 35 TFSi Prestige+ S-tr. ;394.900 kr.;6.000;Nordjylland;2021
Audi A3 35 TFSi Prestige S-tr. ;379.900 kr.;8.000;Syd- og Sønderjylland;2021
Audi Q3 35 TFSi S-tr. ;364.900 kr.;6.000;København;2021
Audi A3 35 TFSi Prestige S-tr. ;394.900 kr.;9.000;Syd- og Sønderjylland;2021
Audi A5 40 TFSi Prestige+ Sportback S-tr. ;479.900 kr.;6.000;Nordjylland;2021
Audi Q2 35 TFSi Prestige S-tr. ;339.900 kr.;6.000;Nordjylland;2021
Audi A3 35 TFSi Prestige S-tr. ;379.900 kr.;11.000;Syd- og Sønderjylland;2021
Audi RS4 4,2 FSi Avant quattro S-tr. ;799.900 kr.;48.000;Fyn;2015
Audi A3 35 TFSi Prestige S-tr. ;379.900 kr.;10.000;Syd- og Sønderjylland;2021
Audi A6 1,8 TFSi 190 S-line Avant S-tr. ;399.995 kr.;65.000;København;2015
Audi A4 40 TFSi Advanced+ Avant S-tr. ;424.900 kr.;9.000;Syd- og Sønderjylland;2020
Audi S5 3,0 TFSi Cabriolet quattro Tiptr. ;799.900 kr.;22.000;Syd- og Sønderjylland;2017
Audi S7 4,0 TFSi Sportback quattro S-tr. ;619.900 kr.;118.000;Syd- og Vestsjælland;2012
Audi A5 40 TFSi Prestige+ Sportback S-tr. ;459.900 kr.;10.000;Syd- og Sønderjylland;2020
Audi Q3 1,4 TFSi 150 Ultra ;219.500 kr.;96.000;Østjylland;2016
Audi A4 40 TFSi Prestige+ Avant S-tr. ;453.900 kr.;9.000;København;2021
Audi A4 1,6 ;19.500 kr.;348.000;Syd- og Vestsjælland;2002
Audi A4 40 TFSi Prestige+ Avant S-tr. ;435.900 kr.;12.000;København;2021
Audi Q2 35 TFSi Prestige S-tr. ;335.900 kr.;6.000;København;2021
Audi A4 40 TFSi Prestige+ Avant S-tr. ;429.900 kr.;8.000;København;2021
Audi Q2 1,4 TFSi 150 Sport S-tr. ;284.900 kr.;27.000;Nordjylland;2018
Audi Q2 35 TFSi Prestige S-tr. ;335.900 kr.;6.000;København;2021
