model;type;price;km;location;year;link
Audi A3;1,4 e-tron Sport Sportback S-tr.;269900;21.000;Hillerød;2018;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sport-sportback-s-tr/1760452
Audi A3;1,4 e-tron Sportback S-tr.;229800;32.000;Ribe;2018;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sportback-s-tr/1761887
Audi A3;1,4 e-tron Sportback S-tr.;219900;52.000;Daugård;2016;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sportback-s-tr/1771206
Audi A3;Sportback 1,4 E-tron S Tronic 204HK 5d;214800;85.000;Svenstrup;2018;https://www.biltorvet.dk/bil/audi/a3/sportback-1-4-e-tron-s-tronic-204hk-5d/1772119
Audi A3;Sportback 1,4 E-tron S Tronic 204HK 5d;224800;41.000;Svenstrup;2017;https://www.biltorvet.dk/bil/audi/a3/sportback-1-4-e-tron-s-tronic-204hk-5d/1772136
Audi A3;1,4 e-tron Sport Sportback S-tr.;244800;43.000;Ribe;2018;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sport-sportback-s-tr/1777107
Audi A3;1,4 e-tron Sportback S-tr.;216800;23.000;Ribe;2018;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sportback-s-tr/1778111
Audi A3;1,4 e-tron Sport Sportback S-tr.;245900;35.000;Daugård;2018;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sport-sportback-s-tr/1779018
Audi A3;Sportback 1,4 E-tron S Tronic 204HK 5d;219800;65.000;Svenstrup;2018;https://www.biltorvet.dk/bil/audi/a3/sportback-1-4-e-tron-s-tronic-204hk-5d/1772121
Audi A3;1,4 e-tron Sport Sportback S-tr.;249900;31.000;Brabrand;2016;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sport-sportback-s-tr/1640630
Audi A3;1,4 e-tron Sport Sportback S-tr.;229900;96.000;Brabrand;2016;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sport-sportback-s-tr/1640635
Audi A3;1,4 e-tron S-line Sportback S-tr.;239900;48.000;Brabrand;2015;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-s-line-sportback-s-tr/1640636
Audi A3;1,4 e-tron S-line Sportback S-tr.;195000;143.000;Odense;2015;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-s-line-sportback-s-tr/1667145
Audi A3;1,4 e-tron Sportback S-tr.;229990;29.000;Faaborg;2017;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sportback-s-tr/1739907
Audi A3;1,4 e-tron Sportback S-tr.;234990;26.000;Faaborg;2017;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sportback-s-tr/1739990
Audi A3;1,4 e-tron Sport Sportback S-tr.;254900;61.000;Storvorde;2017;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sport-sportback-s-tr/1776424
Audi A3;1,4 e-tron Sportback S-tr.;216995;25.000;Herning;2018;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sportback-s-tr/1774334
Audi A3;1,4 e-tron S-line Sportback S-tr.;269900;52.000;Daugård;2018;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-s-line-sportback-s-tr/1776821
Audi A3;1,4 e-tron Sport Sportback S-tr.;219900;64.000;Daugård;2016;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sport-sportback-s-tr/1779017
Audi A3;1,4 e-tron Ambiente Sportback S-tr.;204800;91.000;Roskilde;2015;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-ambiente-sportback-s-tr/1660917
Audi A3;1,4 e-tron Attraction Sportback S-tr.;204800;94.000;Roskilde;2015;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-attraction-sportback-s-tr/1711482
Audi A6;55 TFSi e Sport Avant quattro S-tr.;799900;13.000;Frederikssund;2021;https://www.biltorvet.dk/bil/audi/a6/55-tfsi-e-sport-avant-quattro-s-tr/1748109
Audi A3;1,4 e-tron Sportback S-tr.;224000;36.000;Silkeborg;2018;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sportback-s-tr/1771383
Audi A3;1,4 e-tron Sportback S-tr.;204900;49.000;Viborg;2017;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sportback-s-tr/1774622
